year,60_kg_top,year,70_kg_top,year,80_kg_top,year,90_kg_top,year,100+_kg_top
2019,705.5,2019,790.5,2019,833,2019,853.5,2019,1012.5
2018,688,2018,758,2018,830.5,2018,850,2018,1083.5
2017,680,2017,757,2017,795,2017,832.5,2017,1105
2016,670,2016,730,2016,813,2016,840,2016,1043
2015,655.5,2015,712.5,2015,775,2015,832.5,2015,1000.5
2014,650,2014,701,2014,770.5,2014,847.5,2014,972.5
2013,635,2013,687.5,2013,760,2013,830.5,2013,955
2012,640,2012,670,2012,737.5,2012,765,2012,1007.5
2011,590,2011,657.5,2011,710,2011,800,2011,932.5
2010,605.55,2010,650,2010,710,2010,707.5,2010,905
2009,567.5,2009,590,2009,695,2009,727.5,2009,840
2008,542.5,2008,542.04,2008,690,2008,715,2008,935
2007,485,2007,590,2007,632.5,2007,707.5,2007,932.5
2006,500,2006,532.5,2006,639,2006,560,2006,917.5
2005,530,2005,535,2005,590,2005,585,2005,835
2004,417.5,2004,495,2004,580,2004,667.5,2004,745
2002,467.2,2003,557.92,2000,510,2003,578.33,2003,764.3
2000,505,2000,465,1999,562.5,2002,596.47,2002,777.91
1999,535.24,1999,566.99,1998,602.5,2000,642.5,2000,840
1998,502.5,1998,517.5,1997,560.19,1999,637.5,1999,886.77
1997,528.44,1997,707.6,,,1998,565,1998,864.09
,,1996,589.67,,,1997,666.78,1997,809.66
,,,,,,,,1996,757.5
